marca,modelo,mes_matriculacion,ano_matriculacion,kilometraje,distintivo_ambiental,garantia,precio_nuevo,precio_contado,concesionario,provincia,comunidad_autonoma,tipo_traccion,largo,ancho,alto,capacidad_maletero,num_plazas,num_puertas,batalla,peso,consumo_medio,consumo_carretera,consumo_urbano,co2,deposito,combustible,num_cilindros,cilindrada,sobrealimentacion,tipo_cambio,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion
MERCEDES-BENZ,CLASE GLA,12,2023,10177.0,ECO,36.0,46503.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1616.0,425.0,5.0,5.0,2729.0,2070.0,,,,,43.00,Gasolina,4.0,1332.0,Turbo,Automático,7.0,120.0,163.0,250.0,210.0,8.90
MERCEDES-BENZ,CLASE GLA,12,2023,7593.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CLASE C,4,2024,11565.0,0 EMISIONES,36.0,68749.00,64000.00,STERN MOTOR,Barcelona,Cataluña,trasera,4751.0,1820.0,1446.0,315.0,5.0,4.0,2865.0,2675.0,,,,,50.00,Híbrido Enchufable,4.0,1993.0,Turbo,Automático,9.0,230.0,313.0,550.0,243.0,6.20
MERCEDES-BENZ,CLASE A,5,2023,19460.0,C,36.0,43437.00,34800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4428.0,1796.0,1440.0,345.0,5.0,5.0,2729.0,2010.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,220.0,8.30
MERCEDES-BENZ,CLASE A,6,2023,23668.0,C,36.0,43437.00,34800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4428.0,1796.0,1440.0,345.0,5.0,5.0,2729.0,2010.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,220.0,8.30
MERCEDES-BENZ,EQA,4,2024,7.0,0 EMISIONES,36.0,57031.00,51100.00,STERN MOTOR,Barcelona,Cataluña,delantera,4463.0,1834.0,1608.0,340.0,5.0,5.0,2729.0,2470.0,,,,,,Eléctrico,,,,Automático,1.0,140.0,190.0,385.0,160.0,8.60
MERCEDES-BENZ,CLASE B,6,2020,83697.0,C,24.0,38112.00,27000.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1562.0,455.0,5.0,5.0,2699.0,2075.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,219.0,8.30
MERCEDES-BENZ,CLASE B,4,2024,10161.0,C,24.0,44376.00,41300.00,STERN MOTOR,Barcelona,Cataluña,delantera,4419.0,1796.0,1562.0,445.0,5.0,5.0,2729.0,2090.0,,,,,43.00,Diesel,4.0,1950.0,Turbo de geometría variable,Automático,8.0,110.0,150.0,320.0,219.0,8.50
MERCEDES-BENZ,CITAN,1,2022,55870.0,C,24.0,27689.00,26300.00,STERN MOTOR,Barcelona,Cataluña,delantera,4498.0,1919.0,1813.0,517.0,5.0,5.0,2716.0,2174.0,,,,,56.00,Diesel,4.0,1461.0,Turbo,Manual,6.0,70.0,95.0,260.0,164.0,15.50
MERCEDES-BENZ,CLASE GLS,8,2024,5.0,ECO,36.0,123095.00,124000.00,STERN MOTOR,Barcelona,Cataluña,total permanente,5209.0,1956.0,1823.0,355.0,7.0,5.0,3135.0,3220.0,,,,,90.00,Gasolina,6.0,2999.0,Turbo,Automático,9.0,280.0,381.0,500.0,250.0,6.10
MERCEDES-BENZ,AMG GT,8,2024,5.0,C,36.0,216950.00,235500.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4728.0,1984.0,1354.0,351.0,2.0,3.0,2700.0,2160.0,,,,,70.00,Gasolina,8.0,3982.0,Turbo,Automático,9.0,430.0,585.0,800.0,315.0,3.20
MERCEDES-BENZ,CLASE C,4,2024,19.0,ECO,36.0,52695.00,53000.00,STERN MOTOR,Barcelona,Cataluña,trasera,4751.0,1820.0,1437.0,455.0,5.0,4.0,2865.0,2265.0,,,,,66.00,Gasolina,4.0,1496.0,Turbo,Automático,9.0,150.0,204.0,300.0,246.0,7.30
MERCEDES-BENZ,CLASE GLA,2,2024,7513.0,0 EMISIONES,36.0,55550.00,43800.00,STERN MOTOR,Barcelona,Cataluña,delantera,4412.0,1834.0,1609.0,385.0,5.0,5.0,2729.0,2300.0,,,,,35.00,Híbrido Enchufable,4.0,1332.0,Turbo,Automático,8.0,160.0,218.0,450.0,210.0,7.90
MERCEDES-BENZ,CITAN,2,2023,22647.0,C,24.0,27689.00,29300.00,STERN MOTOR,Barcelona,Cataluña,delantera,4498.0,1919.0,1813.0,517.0,5.0,5.0,2716.0,2174.0,,,,,56.00,Diesel,4.0,1461.0,Turbo,Manual,6.0,70.0,95.0,260.0,164.0,15.50
MERCEDES-BENZ,CLASE SL,10,2024,16.0,ECO,36.0,193576.00,185690.00,STERN MOTOR,Barcelona,Cataluña,total permanente,4705.0,1915.0,1354.0,213.0,2.0,2.0,2700.0,2320.0,,,,,70.00,Gasolina,8.0,3982.0,Turbo,Automático,9.0,350.0,476.0,700.0,295.0,3.90
