,id_provincia,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,id_carroceria,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo,id_tipo_cambio
47,13,39617,21,1,12.0,22300.0,33170.0,4300.0,1770.0,1530.0,405.0,4,5.0,2.605,1.748,5,5.0,4.5,5.8,44.0,1,1.199,8.0,115.0,155.0,240.0,206.0,8.6,11,2020,118.0,3.0,3,6,46,1
48,13,18987,21,1,12.0,27200.0,28540.0,4529.0,1837.0,1647.0,823.0,6,7.0,2.727,2.2,5,5.4,4.8,6.6,60.0,1,1.199,6.0,96.0,130.0,230.0,201.0,10.8,4,2023,139.0,3.0,5,6,47,2
49,13,56784,21,1,12.0,18400.0,30390.0,4300.0,1770.0,1530.0,405.0,4,5.0,2.605,1.74,5,4.8,4.2,5.8,44.0,1,1.199,8.0,96.0,130.0,230.0,198.0,9.1,7,2020,109.0,3.0,3,6,46,1
50,13,3140,21,1,12.0,27200.0,42110.0,4750.0,1860.0,1410.0,487.0,2,5.0,2.79,1.96,5,0.0,0.0,0.0,45.0,1,1.199,8.0,96.0,130.0,230.0,211.0,10.0,4,2023,,3.0,3,6,48,1
51,12,20,22,1,12.0,25900.0,28990.0,4350.0,1825.0,1570.0,374.0,4,5.0,2.66,1.86,5,0.0,0.0,0.0,47.0,1,,6.0,88.0,120.0,172.0,180.0,11.8,5,2024,,3.0,3,20,49,2
52,4,42000,7,1,12.0,17999.0,29780.0,4360.0,1834.0,1520.0,380.0,2,5.0,2.67,1.795,5,3.4,2.3,4.4,60.0,3,1.499,8.0,96.0,130.0,300.0,192.0,11.1,1,2023,99.0,4.0,2,4,50,1
53,13,24382,23,3,12.0,35500.0,,,,,,3,,,,5,,,,,5,,,,130.0,,,,7,2023,,,4,21,51,1
54,13,3,23,4,12.0,56000.0,,,,,,8,,,,4,,,,,7,,,,250.0,,,,4,2023,,,4,21,52,1
55,14,41056,24,1,12.0,19600.0,25725.0,4360.0,1834.0,1520.0,380.0,2,5.0,2.67,1.735,5,4.6,3.2,5.9,60.0,1,1.199,6.0,96.0,130.0,230.0,210.0,10.8,4,2022,108.0,3.0,5,4,53,2
56,11,10,19,4,59.0,19999.0,21707.0,3860.0,1735.0,1495.0,265.0,2,5.0,2.45,1.365,5,,,,37.0,1,1.197,5.0,61.0,82.0,112.0,165.0,12.5,10,2024,,3.0,5,22,54,2
