id_provincia,link_coche,fecha_extraccion,kilometraje,id_concesionario,id_distintivo_ambiental,garantia,precio_contado,precio_nuevo,largo,ancho,alto,capacidad_maletero,num_plazas,batalla,peso,num_puertas,consumo_medio,consumo_carretera,consumo_urbano,deposito,combustible,cilindrada,tipo_cambio,id_traccion,num_marchas,potencia_kw,potencia_cv,par,velocidad_max,aceleracion,mes_matriculacion,ano_matriculacion,co2,num_cilindros,id_sobrealimentacion,id_marca,id_modelo
Madrid,https://www.autocasion.com/coches-segunda-mano/maserati-ghibli-ocasion/ghibli-gransport-s-aut-430-ref14352199,25/11/2024,132000,COCHES AMB,C,12.0,37950.0,117900.0,4971.0,1945.0,1461.0,500.0,5,2998,2450,4,11.7,9.4,15.0,80.0,Gasolina,2979,Automático,trasera,8,316,430,580,286,4.9,4,2018,265.0,6,Doble turbo,MASERATI,GHIBLI
Barcelona,https://www.autocasion.com/coches-km0/km-0/mercedes-benz-clase-e-km0/e-estate-220d-9g-tronic-3-ref14315699,25/11/2024,5,STERN MOTOR,ECO,36.0,59500.0,67203.0,4949.0,1880.0,1469.0,615.0,5,2961,2602,5,,,,66.0,Diesel,1993,Automático,trasera,9,145,197,440,230,7.9,4,2024,,4,Turbo,MERCEDES-BENZ,CLASE E
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-citan-1-ocasion/citan-tourer-110cdi-base-1-ref14120232,25/11/2024,10139,STERN MOTOR,C,24.0,30000.0,27689.0,4498.0,1919.0,1813.0,517.0,5,2716,2174,5,,,,56.0,Diesel,1461,Manual,delantera,6,70,95,260,164,15.5,8,2023,,4,Turbo,MERCEDES-BENZ,CITAN
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref14688957,25/11/2024,11144,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-eqb-ocasion/eqb-250-2-ref13749851,25/11/2024,6111,STERN MOTOR,0 EMISIONES,36.0,47600.0,58502.0,4684.0,1834.0,1654.0,495.0,5,2829,2540,5,,,,,Eléctrico,,Automático,delantera,1,140,190,385,160,8.9,2,2024,,,,MERCEDES-BENZ,EQB
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-a-ocasion/a-200d-8g-dct-1-ref14681371,25/11/2024,27538,STERN MOTOR,C,36.0,34800.0,43437.0,4428.0,1796.0,1440.0,345.0,5,2729,2010,5,,,,43.0,Diesel,1950,Automático,delantera,8,110,150,320,220,8.3,6,2023,,4,Turbo de geometría variable,MERCEDES-BENZ,CLASE A
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref14688959,25/11/2024,10030,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref14681384,25/11/2024,8162,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/mercedes-benz-clase-gla-ocasion/gla-250e-1-ref13843644,25/11/2024,8373,STERN MOTOR,0 EMISIONES,36.0,43800.0,55550.0,4412.0,1834.0,1609.0,385.0,5,2729,2300,5,,,,35.0,Híbrido Enchufable,1332,Automático,delantera,8,160,218,450,210,7.9,12,2023,,4,Turbo,MERCEDES-BENZ,CLASE GLA
Barcelona,https://www.autocasion.com/coches-segunda-mano/lamborghini-gallardo-ocasion/gallardo-ref14273466,25/11/2024,90771,STERN MOTOR,C,,84000.0,159744.0,4300.0,1900.0,1165.0,,2,2560,1680,2,19.5,13.7,29.1,90.0,Gasolina,4961,Manual,total permanente,6,368,500,510,,4.2,4,2006,,10,,LAMBORGHINI,GALLARDO
